incident_id,date,environment,service,severity,title,symptoms,root_cause,resolution,mttr_minutes,similar_alerts,escalation_path,business_impact_summary,postmortem_summary,time_to_resolution_minutes
INC-2025-11-04,2025-11-04,NJ-DGE,wallet-service,P2,Replication lag after wallet deploy,replication lag>30s; transaction commit delays,v4.10.1 introduced unindexed query on transactions_log,rolled back to v4.9.8 then deployed fixed v4.10.2,28,replication,NOC → Platform SRE → Service owner,P2 on wallet-service in NJ-DGE: Replication lag after wallet deploy. Customer-facing degradation until rollback/fix.,"Root cause: v4.10.1 introduced unindexed query on transactions_log. Resolution: rolled back to v4.9.8 then deployed fixed v4.10.2. MTTR 28 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",28
INC-2025-09-22,2025-09-22,GIB-UKGC,payments-service,P1,Payment gateway timeouts,payment_failures>5%; gateway latency>5s,upstream provider partial outage,"switched to secondary payment provider, root cause resolved upstream",42,payments,NOC → Platform SRE → Service owner → Incident commander → Exec comms,P1 on payments-service in GIB-UKGC: Payment gateway timeouts. Customer-facing degradation until rollback/fix.,"Root cause: upstream provider partial outage. Resolution: switched to secondary payment provider, root cause resolved upstream. MTTR 42 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",42
INC-2026-01-15,2026-01-15,MGM,wallet-service,P3,Transaction log disk 95% full,disk_space critical alert; log writes slowing,log rotation cron job failed silently for 6 days,manual log rotation; fixed cron monitoring,18,disk,NOC → Service owner (next business day review),P3 on wallet-service in MGM: Transaction log disk 95% full. Customer-facing degradation until rollback/fix.,"Root cause: log rotation cron job failed silently for 6 days. Resolution: manual log rotation; fixed cron monitoring. MTTR 18 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",18
INC-2026-03-08,2026-03-08,GIB-UKGC,auth-service,P2,Auth latency p95>2s,login latency spike; session timeouts,connection pool exhausted after traffic surge,increased pool size from 50 to 200; restart,22,auth,NOC → Platform SRE → Service owner,P2 on auth-service in GIB-UKGC: Auth latency p95>2s. Customer-facing degradation until rollback/fix.,"Root cause: connection pool exhausted after traffic surge. Resolution: increased pool size from 50 to 200; restart. MTTR 22 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",22
INC-2026-05-12,2026-05-12,NJ-DGE,bet-service,P2,Failed deploy caused 5xx spike,5xx_rate>10% immediately after deploy,missing schema migration in v3.3.9,rolled back to v3.3.8; migration applied; v3.3.9 redeployed,15,deploys,NOC → Platform SRE → Service owner,P2 on bet-service in NJ-DGE: Failed deploy caused 5xx spike. Customer-facing degradation until rollback/fix.,"Root cause: missing schema migration in v3.3.9. Resolution: rolled back to v3.3.8; migration applied; v3.3.9 redeployed. MTTR 15 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",15
INC-2025-12-19,2025-12-19,GIB-UKGC,wallet-service,P2,Replication lag during high traffic,replication lag>45s; transaction commit delays,traffic surge during promotional event overwhelmed replica,added read replica; tuned replication batch size,35,replication,NOC → Platform SRE → Service owner,P2 on wallet-service in GIB-UKGC: Replication lag during high traffic. Customer-facing degradation until rollback/fix.,"Root cause: traffic surge during promotional event overwhelmed replica. Resolution: added read replica; tuned replication batch size. MTTR 35 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",35
INC-2026-02-04,2026-02-04,MGM,game-service,P1,Game state desync across nodes,player state inconsistency; complaints spiked,cache invalidation race condition,deployed hotfix v5.1.3; manual state reconciliation,55,game,NOC → Platform SRE → Service owner → Incident commander → Exec comms,P1 on game-service in MGM: Game state desync across nodes. Customer-facing degradation until rollback/fix.,"Root cause: cache invalidation race condition. Resolution: deployed hotfix v5.1.3; manual state reconciliation. MTTR 55 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",55
INC-2025-10-11,2025-10-11,NJ-DGE,auth-service,P3,Slow password reset emails,email delivery delayed by 5-10 min,SMTP provider rate limiting,increased email provider tier; added retry queue,30,auth,NOC → Service owner (next business day review),P3 on auth-service in NJ-DGE: Slow password reset emails. Customer-facing degradation until rollback/fix.,"Root cause: SMTP provider rate limiting. Resolution: increased email provider tier; added retry queue. MTTR 30 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",30
INC-2026-04-22,2026-04-22,GIB-UKGC,payments-service,P2,Deposit success rate dropped,deposit_success_rate dropped from 96% to 78%,payment provider certificate near expiry triggered cautious rejections,rotated certificate; engaged provider support,48,payments,NOC → Platform SRE → Service owner,P2 on payments-service in GIB-UKGC: Deposit success rate dropped. Customer-facing degradation until rollback/fix.,"Root cause: payment provider certificate near expiry triggered cautious rejections. Resolution: rotated certificate; engaged provider support. MTTR 48 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",48
INC-2025-08-30,2025-08-30,MIRAGE,bet-service,P2,Bet acceptance latency,p95 bet placement latency increased to 3.5s,database stats stale after schema change,ran ANALYZE on affected tables; latency normalized,40,performance,NOC → Platform SRE → Service owner,P2 on bet-service in MIRAGE: Bet acceptance latency. Customer-facing degradation until rollback/fix.,"Root cause: database stats stale after schema change. Resolution: ran ANALYZE on affected tables; latency normalized. MTTR 40 min. Follow-up: tighten monitoring, canary gates, and runbook validation.",40
