alert_id,seconds_offset,timestamp,environment,service,severity,title,status,affected_users,error_rate_pct,is_trigger
ALT-DEMO-0001,0.0,2026-06-10T10:00:00.000Z,MGM,wallet-service,P4,wallet-service cache hit rate 65%,active,0,0.0,false
ALT-DEMO-0002,1.01,2026-06-10T10:00:01.010Z,MIRAGE,game-service,P4,game-service memory utilization 45%,active,0,0.0,false
ALT-DEMO-0003,1.7,2026-06-10T10:00:01.700Z,MIRAGE,replication,P4,replication cache hit rate 82%,auto-resolved,0,0.0,false
ALT-DEMO-0004,1.71,2026-06-10T10:00:01.710Z,MIRAGE,replication,P3,Replication lag 2.4s on replication,active,1500,0.33,false
ALT-DEMO-0005,2.04,2026-06-10T10:00:02.040Z,NJ-DGE,auth-service,P4,Auto-scaling event triggered for auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0006,2.4,2026-06-10T10:00:02.400Z,MGM,replication,P4,Health check warning: replication response time 65ms,auto-resolved,0,0.0,false
ALT-DEMO-0007,2.47,2026-06-10T10:00:02.470Z,GIB-UKGC,wallet-service,P4,TLS handshake duration elevated for wallet-service,auto-resolved,0,0.0,false
ALT-DEMO-0008,3.82,2026-06-10T10:00:03.820Z,GIB-UKGC,auth-service,P4,DNS resolution intermittent for auth-service,auto-resolved,0,0.0,false
ALT-DEMO-0009,3.87,2026-06-10T10:00:03.870Z,GIB-UKGC,game-service,P4,Background job queue depth at 82,auto-resolved,0,0.0,false
ALT-DEMO-0010,4.64,2026-06-10T10:00:04.640Z,MGM,replication,P4,TLS handshake duration elevated for replication,auto-resolved,0,0.0,false
ALT-DEMO-0011,4.66,2026-06-10T10:00:04.660Z,NJ-DGE,auth-service,P4,auth-service cache hit rate 200%,acknowledged,0,0.0,false
ALT-DEMO-0012,5.46,2026-06-10T10:00:05.460Z,MIRAGE,replication,P4,Background job queue depth at 70,active,0,0.0,false
ALT-DEMO-0013,6.04,2026-06-10T10:00:06.040Z,MIRAGE,payments-service,P3,Replication lag 2.1s on payments-service,acknowledged,0,0.86,false
