incident_id,date,severity,service,root_cause,mttr_minutes,customer_impact,escalation_path,business_impact_summary,postmortem_summary,time_to_resolution_minutes,symptoms
INC-2025-001,2025-01-08,P1,auth-api,Bad config rollout disabled session cookie,47,100% of users unable to log in for 47 min,NOC → Platform SRE → Service owner → Incident commander → Exec comms,100% of users unable to log in for 47 min,Root cause: Bad config rollout disabled session cookie. Resolution: mitigated. TTR 47 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,47,auth-api degradation in prod
INC-2025-002,2025-01-19,P2,payment-svc,Primary PSP timeout spike,31,12% of charges retried via backup PSP,NOC → Platform SRE → Service owner,12% of charges retried via backup PSP,Root cause: Primary PSP timeout spike. Resolution: mitigated. TTR 31 min. Escalation: NOC → Platform SRE → Service owner.,31,payment-svc degradation in prod
INC-2025-003,2025-02-02,P3,api-gateway,Single Lambda integration timeout,18,One customer endpoint slow,NOC → Service owner (next business day review),One customer endpoint slow,Root cause: Single Lambda integration timeout. Resolution: mitigated. TTR 18 min. Escalation: NOC → Service owner (next business day review).,18,api-gateway degradation in prod
INC-2025-004,2025-02-14,P1,postgres-primary,Disk full from runaway audit log,62,All writes failing for 62 min,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All writes failing for 62 min,Root cause: Disk full from runaway audit log. Resolution: mitigated. TTR 62 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,62,postgres-primary degradation in prod
INC-2025-005,2025-02-28,P2,auth-api,MFA SMS provider degraded,25,MFA delivery delayed up to 5 min,NOC → Platform SRE → Service owner,MFA delivery delayed up to 5 min,Root cause: MFA SMS provider degraded. Resolution: mitigated. TTR 25 min. Escalation: NOC → Platform SRE → Service owner.,25,auth-api degradation in prod
INC-2025-006,2025-03-10,P3,monitoring,Prometheus OOM killed,12,Alerts delayed but not lost,NOC → Service owner (next business day review),Alerts delayed but not lost,Root cause: Prometheus OOM killed. Resolution: mitigated. TTR 12 min. Escalation: NOC → Service owner (next business day review).,12,monitoring degradation in prod
INC-2025-007,2025-03-22,P1,payment-svc,Duplicate charge bug from custom retry loop,95,0.4% of customers double-charged,NOC → Platform SRE → Service owner → Incident commander → Exec comms,0.4% of customers double-charged,Root cause: Duplicate charge bug from custom retry loop. Resolution: mitigated. TTR 95 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,95,payment-svc degradation in prod
INC-2025-008,2025-04-03,P2,redis-cache,Eviction storm under load,28,Sessions expiring early,NOC → Platform SRE → Service owner,Sessions expiring early,Root cause: Eviction storm under load. Resolution: mitigated. TTR 28 min. Escalation: NOC → Platform SRE → Service owner.,28,redis-cache degradation in prod
INC-2025-009,2025-04-15,P3,api-gateway,Throttle limit reached for one client,9,One enterprise client rate-limited,NOC → Service owner (next business day review),One enterprise client rate-limited,Root cause: Throttle limit reached for one client. Resolution: mitigated. TTR 9 min. Escalation: NOC → Service owner (next business day review).,9,api-gateway degradation in prod
INC-2025-010,2025-04-29,P1,auth-api,OIDC discovery endpoint cached stale keys,73,All OAuth logins failing,NOC → Platform SRE → Service owner → Incident commander → Exec comms,All OAuth logins failing,Root cause: OIDC discovery endpoint cached stale keys. Resolution: mitigated. TTR 73 min. Escalation: NOC → Platform SRE → Service owner → Incident commander → Exec comms.,73,auth-api degradation in prod
